minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names

3.571267978,-0.836399078,ESYT2
1.820714477,-0.456450144,ILVBL
1.116585278,0.306014379,ACO2
1.688571117,-0.435983022,ADD1
1.572857479,-0.555451711,HLA-C
1.584954543,-0.770975113,NBAS
0.186621496,0.056409836,VWA8
1.655250259,0.296574275,GTPBP10
0.490455544,0.87901179,SUN1
1.995280829,0.336435318,MRPL42
0.754047739,-0.569058736,RPSA
2.545122552,-1.410368601,PIGK
0.242446577,-0.249287923,ABI1
0.676481906,-0.308621089,ATP1B1
1.849663454,-0.755004883,HN1L
2.943809266,-1.050099691,YIF1A
1.21838635,0.619565328,PTGES2
2.280725815,0.7854201,FBLL1
1.796438967,0.627201716,METTL15
1.829712552,0.508437475,MRPL23
1.517814134,0.678478241,NOC3L
0.476801197,-0.242860794,CNIH4
0.690850946,-0.746145248,CD81
0.016684687,-0.011388779,PIP5K1A
2.880071569,0.559265137,SELK
2.974138164,-1.2021993,MLLT4
0.791760982,-0.559172948,CDH2
0.194316273,-0.081407547,MATR3
0.13191868,0.167377472,NUDT19
0.310902877,0.156898499,BCKDK
0.446092369,-0.144599915,RAB34
0.420761641,-0.136681239,SRRM1
0.199485052,-0.162590027,EIF3L
0.970650061,0.538808187,EWSR1
1.01778867,0.814282099,APOC3
0.771045154,0.471110662,HMGCL
0.707017951,-0.357248942,OSBPL9
1.115400215,-0.5139033,TMEM9
0.780609085,-0.695085526,LPHN2
2.736309243,-1.813649495,SOAT1
1.761988959,-0.415334066,EIF3H
1.237603983,0.266506831,SNRPB
0.436418294,0.237738927,PES1
0.550158071,-0.561580658,AP1G1
1.006526375,0.159182866,CLN6
3.268567481,-0.851468404,LARS
0.124141915,-0.045453389,PUM1
1.550640702,-0.429611842,CANX
2.186161647,-1.059448878,CTNNB1
0.004773226,0.005281448,TAMM41
2.277592071,-1.500389735,EXOC7
0.253846177,-0.127171834,RAB5A
0.210916672,0.146420161,FDFT1
1.673821778,2.118373871,ISCA1
0.338441681,0.170792262,SNRPD3
0.53799651,0.360609055,CS
1.226292774,0.457692464,GCDH
1.468755274,-0.369927088,LSR
0.694296687,-0.170588811,SLC25A10
0.409670457,-0.644924164,PGS1
2.288855852,-0.629308701,DDX5
0.700155458,-1.628360113,KDSR
3.253363273,0.568276723,MRPL48
0.738236788,0.233579636,STRAP
0.454569978,-0.162819544,CNBP
1.384429707,-0.391685486,BCKDHA
1.32058481,-0.388100306,SEC61A1
1.488284595,-0.281279246,ALG5
0.213245564,0.063702265,PLOD1
2.727421139,0.719820658,MRPS27
2.162322731,0.757677714,EIF4B
2.08515852,-0.343013128,SRPK1
1.629394738,-1.077301661,MPDU1
1.666813556,0.441030502,LSM14A
0.845254327,-0.803074519,HACL1
0.911518411,-0.481843948,QARS
1.404933883,-0.251314799,ARL1
1.314679451,-0.346557617,SEC13
1.89088272,0.347588221,FOXRED1
1.542734546,0.545733134,PCBP2
0.273385119,0.062497457,HNRNPC
2.122543308,-1.215852737,NUP35
2.848824653,-1.383323034,COPB2
2.445636434,-0.906374613,STAM
0.159367686,-0.19917806,RALB
0.17640719,0.147097905,TRAM1
0.911894675,0.264285405,RAF1
0.79137777,-0.212924321,MST4
0.463518641,0.160228093,SRSF3
2.552445681,-1.176904043,SSR3
1.935819273,0.910311381,STOM
0.956843034,0.146881104,PDIA6
0.29791292,-0.122262319,02-Sep
1.409814031,-0.349205653,RFT1
2.553950101,-0.585198085,RAN
1.254490155,-0.922484716,EIF3C
0.045298243,-0.031159719,ATP6AP2
0.896235129,0.35477066,ATP6V1A
0.312460121,-0.494074504,WRB
0.501094439,-0.168071747,MFSD8
0.223236394,0.144809723,HNRNPUL1
0.368988844,0.517641068,INPP5K
0.414244535,-0.1577034,RRAS2
1.261562787,0.170365651,ATL2
2.795367047,1.084119797,DHCR24
1.362449988,-1.115481695,DYNC1I2
0.178945304,-0.21419843,SEC24B
1.203175819,0.967990875,SUMO1
0.822252766,-0.398445129,PTMA
0.528973484,-0.287542343,AGFG1
0.441060125,-0.308966319,ORMDL1
1.405044981,0.427845637,DIAPH1
0.174668077,-0.188431422,SSR1
2.698607854,-0.881710688,EEF1E1
2.779910781,-1.068026861,ARF5
1.136947162,-0.523393631,APOO
1.703293284,-0.636964162,ALDH5A1
1.577715272,0.335183462,COX17
0.560610264,0.362728119,SRSF7
2.960034338,-1.069512685,TMUB1
0.197858977,0.106261571,ACAA1
0.975200086,0.973000209,CYCS
1.55843905,0.593100866,MRPS34
4.501369919,-0.940800349,FARP1
0.514885418,-0.339091619,CRTAP
0.474412333,-0.359230042,STK11IP
2.829916762,0.42980957,CHCHD3
0.164483629,-0.15113004,L2HGDH
0.881579623,-0.450930278,TMEM106B
2.950652243,-0.480385462,CTNND1
0.328501114,0.187137604,TXNRD2
1.055527467,0.442970912,COX7C
2.193894212,-0.612171173,TMEM33
0.12835022,-0.129688899,MRPL27
0.027040299,-0.028130849,11-Sep
0.729236366,-0.512997309,STX18
0.99500503,0.697075526,COX7A2
1.712657989,-1.460259755,ELOVL5
0.010718268,-0.00851059,PPA2
1.214477757,1.817909241,TACC1
0.025719459,0.012933731,TCEB1
0.308193534,0.206239065,AP3B1
0.412960343,-0.289749146,ARMC1
1.32257324,0.30398496,MRPL13
0.748360864,-0.573650996,SKP1
2.879153508,-0.548737844,RNF5
0.330872612,-0.282485326,SQSTM1
0.73303638,0.416097641,AP3D1
0.751941621,0.387803396,RAI14
2.18558064,-1.29668045,KIAA0319L
0.428046897,-0.204934438,HK1
1.450008413,-0.486324946,SEC24C
0.917045073,0.766714096,CD44
2.6080802,-1.824227651,PRRC2C
0.904695625,-0.309449514,NDUFV2
0.011816149,0.018732707,IDH3G
1.990536728,0.82420222,FAM136A
2.084187069,-0.598920822,ATP2C1
2.113593406,-0.902447383,PSEN1
2.407948941,0.57506752,MRPL22
4.79031728,-0.792013804,NDUFA10
0.969671549,0.371640523,RPS24
1.806599668,-0.632244746,PCCB
0.392652721,0.178960164,MRPL3
1.257769427,-0.689409256,MARK2
0.66080733,0.261234283,GPX8
2.894820547,-0.540465037,ABCD3
1.954397272,-0.585144679,EIF4G1
2.411266751,-0.973169963,MPP2
0.265243471,0.210330963,MAP4
0.470413641,-0.137166341,PSMD2
0.091893844,0.060400645,EXOC6
0.025182178,-0.015656153,CALD1
0.485842303,-0.42119662,DCTN1
2.129494648,0.751825333,NT5DC2
3.617075796,-2.136702855,RAVER1
1.1595857,-2.087010066,NACA
0.736725737,0.300341924,PDHX
1.640660845,-0.317607244,SDHA
0.435481105,-0.352854411,PAICS
0.763136945,-0.504589717,GALNT7
1.289320738,0.501965205,AGK
1.820487856,0.544075648,CCNB1
1.774823669,0.698857625,OGDH
0.314084141,0.219286601,SMC4
0.298393314,0.768625259,CCDC18
3.476369944,-1.223993301,MYO1B
1.976304475,-1.240304947,DMD
1.076182375,0.41592598,WDR6
2.058245788,-1.051698049,NUP155
0.073789833,0.096597672,HADH
0.666416546,-0.151688258,TBL2
0.915649545,-0.486351649,ERGIC3
1.303005517,0.905338287,PRDX3
2.016511909,-0.337931951,TCOF1
3.040652591,-0.479365667,LANCL1
2.297155385,-0.905087789,EPB41L2
1.73705649,0.804281871,MTG1
1.047758016,-0.352118174,SPCS2
0.118371582,0.079437256,TMEM126B
0.886019758,0.197542191,EEF1D
1.070799156,-0.511083603,BCLAF1
0.099910093,-0.030422211,HYOU1
1.63044388,-0.949350993,MTFR1L
2.083324156,1.662526449,C11orf48
0.247583555,-0.439630508,NPEPPS
2.171580746,-0.749938965,LAMTOR5
2.152809135,-1.039753596,CD151
0.314654348,-0.081784566,RHOC
1.187307371,-0.217604955,NDUFS8
2.052777902,0.786012014,FAU
3.11008269,-1.007424037,NME4
1.337490391,-0.796072642,TMEM258
3.207779311,-1.517662048,RHBDF1
1.793777455,-0.362359365,JUP
1.857750854,0.947038015,CHD4
3.781675815,-1.012671153,PODXL
1.52912916,-0.532925288,TMED2
2.34792949,0.452543259,SUCLA2
0.053736436,-0.019746145,DAD1
0.79128849,-0.483655294,ATP6V0D1
3.653526217,0.451191584,LONP1
1.389635857,-0.580541611,NPTN
0.175170788,-0.07017835,PARD3
0.640306081,0.736199697,DHX36
4.848104608,-0.453637441,SLC3A2
1.146153561,0.619559606,PUS1
0.381769068,-0.587909698,GBA
1.589791462,-0.892630259,ANKLE2
0.000267198,-0.000111262,VMP1
1.167028229,-1.300656001,DCTN2
0.535282094,-0.469270706,EIF3A
0.285886979,-0.298842112,SEC23A
1.460811582,-0.686202367,TSG101
1.13519197,-0.654114405,ATP6V0A1
0.364086727,-0.218010585,NUP133
3.773967759,1.416095734,GRSF1
3.21259818,-1.412298838,TAP1
0.519001021,-0.166014353,MYO1C
0.050523708,0.09985733,MAGOH
2.212631233,-2.114696503,CDK17
0.6311073,-0.312042872,RPTOR
0.119528302,-0.046775818,TRAP1
1.700286583,0.429890315,IARS2
1.629976043,0.984318415,PDE12
0.168138566,0.095856984,CAD
0.028555182,0.017501195,DDX39B
1.629047203,-1.102135976,RITA
0.057930571,-0.037887573,PLXNA1
1.625980167,0.387866974,DENR
2.5841595,-1.257545471,CSRP2
0.520660598,0.225559235,SLC38A1
1.667469183,0.710126241,SMARCC2
0.423673956,-0.142954508,PPP1CC
1.824767866,-1.702769597,PRKAG1
0.278647733,0.234781265,AK2
1.916064422,0.386520386,MYL6
2.283584114,0.645156225,HNRNPA1
0.240149028,-0.057223638,UBAP2L
3.670510029,1.276734034,RPL32
0.344537439,-0.289978027,FAM162A
1.775659919,0.7710495,YTHDF1
0.580997438,-0.197397868,MACF1
2.309513694,1.392419815,TOMM5
1.708134237,-0.881036123,IGF2BP2
0.559711582,-0.235189438,STX3
1.256416506,-0.519095739,RCN2
2.704492374,-1.276362101,DTNA
0.828629193,-1.21767362,ALG3
1.081038632,-0.316675822,NDUFV1
1.177634363,-0.308710734,PON2
2.724432243,0.462055206,RPL18
0.522225525,0.559338252,ATP5J2-PTCD1
1.275415309,-0.692694982,CTAGE5
2.801819246,-0.52435557,NDC1
1.124312835,-0.518574397,MAP4K4
0.000830055,-0.001188278,RBM39
2.90849352,1.798212687,LAMB1
1.293302737,-0.455157598,RFTN1
0.175648666,-0.183169047,GPR107
1.536913971,-1.186295827,ITPR1
2.369444129,0.672632217,MRPS22
0.06808418,0.037255605,PDIA3
0.432636124,0.135238012,HNRNPH1
0.712540621,-0.554019928,SMPD4
1.294381564,1.331688563,MTHFD1L
0.190435665,0.136814753,SLC30A7
1.42138432,-0.806524277,ABCA3
1.918410595,0.366785049,MTX1
0.157221408,-0.04144605,CALM1
2.329204321,0.39826711,PISD
0.805932413,-1.315656662,EMC4
1.859239994,-0.492399851,CERS2
1.427039117,0.369584401,IDH3A
0.678603765,-0.300367991,SRP14
0.102133196,0.079027176,ALDH1A2
1.429388116,-1.241638819,RPS27L
1.070925029,-0.32672437,DDX17
2.151745386,-1.784998576,SPNS1
0.801023582,0.256771723,RNPS1
1.21362848,0.456591288,RSL24D1
2.590270283,-1.703584671,IST1
1.376137973,0.277743657,FUS
0.79137123,0.420382182,NDUFB10
1.681928136,-0.68160375,HAGH
1.066139734,-0.806998571,APRT
0.994415653,0.145477295,EARS2
0.093158446,-0.087411245,C16orf58
0.789991789,-0.61184756,LRRC57
1.663046443,-0.484326045,
3.427130151,-0.823752721,ATXN2L
2.471377697,-1.540234884,NOB1
1.581065925,-0.500190099,TMEM209
0.355175638,-0.291002909,PCMT1
0.634434278,-0.792441686,NUPL1
1.233403418,-0.362979253,PDIA3
0.241499427,-0.119608561,SUMO2
1.355467851,-0.379660924,YIPF4
1.488019491,-0.375484467,SLC35E1
0.976997184,-0.712461472,BET1
0.971714263,0.492173513,ART4
0.34572828,-0.21810468,NIPSNAP1
2.012560825,-0.534955978,DDX19A
4.359160238,-0.402530034,NSF
0.492720768,0.133584976,PAM16
0.009602596,-0.002534866,NEURL4
0.299339467,-0.136247635,MYBBP1A
0.954972208,-0.400376638,RPS15A
1.916041808,1.617553711,ATPAF1
1.601366117,-0.400730133,NUP88
1.943613635,-0.275332133,NDUFA13
1.98671089,-0.345384598,PI4KA
0.074724099,-0.034922918,OXA1L
2.607767779,-1.279907862,CYB5B
0.439769144,-0.50675265,CHID1
0.08255482,-0.099714915,ALDH6A1
3.962957472,3.305672328,TRABD
0.17276474,-0.140785853,PTRH2
2.046711421,0.313329061,FKBP8
1.926735212,-0.85468928,C6orf120
0.599949683,-0.292292913,APOL2
2.861655595,2.055042267,RPL36A
4.749954498,-0.936995824,IARS
1.357478718,0.353768031,IVD
1.633408521,-1.403206507,SLC39A11
1.740170709,1.177154541,RPL17
0.51460392,-0.172343572,ICT1
0.607396473,0.83082517,DCXR
0.888189203,-0.443859736,FBXL20
1.436334558,0.889309565,RPL19
0.26070443,-0.07818985,SRSF1
0.246191143,0.077749252,SCO1
2.121573406,0.402931213,MRPS23
0.564355356,0.253446579,MRPS7
2.143227773,-2.482436498,LIMD2
0.897026717,-0.336488724,FDXR
0.49470877,0.12852033,ALDH3A2
0.723018442,0.442814509,MYL12B
0.846749209,-0.910544078,YES1
1.008588762,-0.185691833,CHCHD6
3.096190877,-0.944880803,TMCO1
0.024110765,0.027403514,RPS15
0.257716801,0.150347392,EFTUD2
0.203024156,0.327922185,H3F3A
0.27450009,0.097488403,PRKCSH
0.941841463,-0.599937439,TMEM205
0.938639396,-0.492525736,PIN1
1.272410805,-0.248286565,SNRPD2
1.688253584,0.375947316,MRPL4
1.041563489,-0.442539215,DCAKD
1.20054909,0.50704511,SARS2
0.022918671,-0.03521347,C19orf10
3.699726652,0.949702581,FBL
1.091644048,-0.697340647,NUP62
0.579983085,-0.240082423,AP2S1
0.960411473,-1.081818263,HNRNPM
1.99343409,-0.30150032,RPS5
1.791130966,0.423079173,RPL18A
2.29579192,-1.006987254,EMC10
1.936146423,-0.47694842,AGPS
1.594558758,-1.075821559,KIF2A
0.655189278,-0.556776683,PDLIM1
0.237187664,-0.121558507,SNAP23
1.525369636,0.532364527,HAX1
2.898334006,-1.562986374,STXBP3
2.439003594,-0.516496658,PGRMC1
0.263826251,0.147292455,WWP2
1.209614656,0.625432332,IPO5
1.783542264,0.696671804,POLRMT
0.08104209,0.058661779,SAP18
0.377786132,0.149237951,IGF2BP3
2.237985872,-1.496028264,PIK3R2
3.591645007,-1.4629275,GOLIM4
3.642911248,-2.448091507,AGRN
2.041155679,-0.597829183,NDUFA4
0.881614398,-0.368857702,SDCBP
1.245060344,0.572674433,NOP56
1.743796481,-0.487916311,DDX3X
1.113153591,-0.526281993,SCD
3.152315106,-1.066937129,COX7A2L
1.925832917,-0.523539225,IRS4
0.161537971,0.0526371,ACOT8
1.085564017,-0.58812205,CDIPT
2.866573686,-1.150431951,PDCD5
0.662338905,-0.872406006,SLC9A3R1
1.15527307,-0.343183517,PSMA7
0.581579358,-0.310506821,SCAMP3
1.001839454,1.019599279,MGST3
3.459227854,0.454411189,TIMM23
2.289586036,-1.35344251,CASK
1.91077058,0.442155202,UQCRQ
0.091910913,0.109682083,RAB7L1
1.617745456,-0.579205831,CLGN
1.336577406,-0.556283315,PPP1R12A
1.693889867,-0.350982666,SLC27A2
0.361803606,0.122804642,HNRPDL
2.163609245,-0.650506337,XPO1
0.044199608,0.201687495,BTAF1
2.978278329,-1.852022807,PLXNB2
0.54086024,0.538183848,U2SURP
0.20287072,-0.57973671,KIAA0391
2.293432274,-0.625140508,SCAMP1
2.49181821,-0.381374995,SCAMP2
3.515362573,-0.793182373,PGRMC2
1.654637614,-1.208807627,GNPAT
1.184683665,0.517128627,MRPS12
2.466327077,-0.590883255,RER1
1.619040169,-0.511776606,SURF4
1.127421007,0.158222834,SPTLC1
0.952195749,-0.560432434,SPTLC2
3.609458823,-0.80258433,STX7
0.301811463,-0.286922455,ABCC4
1.320448592,0.57708168,YKT6
3.278281532,-0.645956039,PHGDH
2.725287732,-0.963700612,NDUFS4
1.912435278,-0.488876343,ZW10
3.060184818,-0.82926178,EMC8
1.713324141,-1.111867905,MBTPS2
3.185731033,-0.58098348,EPB41L2
1.740130327,0.676743189,TIMM44
4.730042381,-0.959035238,NDUFA2
0.046721546,-0.02714475,ACTN4
0.181786773,-0.346497218,SLC25A20
2.092697396,0.437782288,SCO2
1.855968623,-1.714814504,SLC37A4
1.257242735,0.236417135,IDH3B
1.605505083,-0.498364766,CALU
0.704160821,-0.6215566,AHCYL1
0.121334109,-0.120217641,NDUFS5
1.997410809,-1.082358042,PEX1
1.664614247,0.588561376,TIMM8A
2.078963407,-0.17053477,OPA1
0.63587161,-0.311341604,ACSL4
0.793829214,-0.211371104,SNX3
1.038750696,-1.07317098,STX10
0.064085875,0.034747442,SYNCRIP
0.805317953,-0.589412053,PLOD3
1.537394418,-0.576082865,ICMT
0.699570174,-0.160104116,DPM1
3.114235707,-1.980040868,USO1
0.759941889,0.741631826,MRPS14
4.216664665,2.863271713,HIST1H2BK
1.387720947,-0.606847127,CCDC22
3.50583019,-0.995741526,PRAF2
0.935069564,-0.380996068,EIF5B
0.175001729,-0.112000783,EDF1
2.503193225,-0.57009697,DNAJA2
3.387565905,0.497902552,ABCB7
3.488149588,-1.062102636,ROCK2
1.51757493,0.153268178,HIP1R
0.997762265,0.933677038,DNAJC13
0.357315052,-0.717933019,DNAJB6
2.89131707,-0.387260437,NDUFS7
0.13816671,-0.075410207,NDUFS2
3.050432323,-0.601962407,GBAS
1.374907412,-0.480926514,ATP6V1G1
2.369010055,-0.944075902,FLNB
0.327943357,-0.10273234,NDUFS6
2.028788401,-0.666435242,PEX14
2.485043153,0.707375844,MRPL33
2.051155918,-0.475451152,SEC22B
0.65132014,-0.442891439,PRPF40A
1.592871162,0.681216558,PMPCB
3.433276287,-0.901725769,ERLIN1
0.867768105,-0.180303574,NDUFS3
2.984206191,-0.84657987,ECI2
4.248194727,2.347621918,BANF1
0.194260373,-0.058818181,ERAL1
0.098335308,0.075939178,SNRNP200
1.411952744,0.967018763,TRMU
0.051933105,-0.030832291,SLC25A12
1.441836445,-0.383974711,ZMPSTE24
0.967377696,0.559213638,STAM2
3.122451049,-0.446198146,ATP5H
5.10934846,-1.411427816,FLOT1
0.841122508,0.422089259,ATP5L
0.32371824,-0.084300995,CPD
0.631062206,0.376622518,RSL1D1
0.298911246,-0.175041835,WFS1
5.428738147,1.423254013,CLPX
3.558901907,-1.096588135,SRP72
2.301136416,-1.286071142,B3GAT3
0.375897844,-0.132674535,TOMM70A
3.544241484,-1.064663569,UFL1
0.063212009,0.017246246,ERLIN2
0.969725528,0.227722804,GLS
0.979024013,-1.170180003,AP2A2
1.098905715,0.245522181,MFN2
0.582530056,-0.108304977,NDUFB4
0.634951202,-0.666083654,NDUFB8
1.607271636,-0.475100199,NDUFA7
0.586230031,-0.477888107,VAMP5
0.130282035,-0.099326452,RTN3
1.340303993,-0.232979457,LETM1
4.415786003,-0.80499649,VAPB
2.81763483,-1.290577571,MPZL1
0.420329281,-0.347304662,SMC2
0.493227746,1.770199458,UTS2
3.185632735,-0.921689987,SGPL1
2.802248111,2.957122167,NSA2
1.111170341,-0.440853119,MPC2
1.38015991,-0.206131617,ACSL3
1.412222304,-2.090108871,CDS2
0.367843526,-0.44891866,HERC2
0.432531641,0.384841283,RAB3D
0.638539422,-0.386642456,AP2A1
1.761717255,0.72177124,STAU1
0.380878995,-0.155855815,BAG2
1.408817118,0.335208893,AIFM1
0.003927384,-0.003583908,TXNDC12
0.929092754,0.456864675,CLPTM1
4.764864066,3.885669072,TOMM40
2.056439524,-0.672121684,PEX11B
4.493491801,-1.338022232,PAK4
2.024757443,-0.825773875,CYB5A
1.086168648,-0.279363632,LDHA
2.083865637,0.574502309,GLUD1
0.892564527,-0.17411232,CYB5R3
1.04166032,0.601987203,GSR
1.194442287,-0.537554423,MT-CO2
0.488913026,-0.287709554,GOT2
0.961208925,-1.100688299,PGK1
1.469394296,-0.847442627,NRAS
1.872961919,-1.09944725,KRAS
0.006929466,0.005442301,HLA-B
4.32134208,2.02558136,LMNA
0.053411505,0.018957774,TFRC
2.397527443,-0.682928085,MT-ATP8
0.454658707,-0.249169032,ALDOA
1.056075438,0.455884298,APOB
1.223014923,0.383740107,OAT
0.069382655,0.049968719,GAPDH
1.941454342,-0.557072957,HLA-A
1.671302697,-0.635618846,TP53
3.039418409,-0.836083094,RPN1
0.124070545,-0.039110819,RPN2
3.231923441,-0.632347107,GNAI2
1.986253153,-0.341538111,ATP1A1
0.041589208,-0.126163483,ARG1
0.379263452,-0.145282745,ALDH2
0.454654286,0.057929993,SLC25A5
0.806475857,-0.248402278,EIF2S1
1.558493255,1.085482279,HMGN2
0.601878491,0.864814758,RPLP1
1.813416838,0.472562154,RPLP2
1.004567151,0.248957316,RPLP0
1.212277271,-0.451076508,ITGB1
1.729865637,-0.614407221,KRT18
2.764450975,0.322680155,MYL3
0.418563692,-0.247208913,GLA
0.3881577,0.075604757,CDK1
1.224826188,-0.157221476,ATP5B
0.629603488,-0.164213181,ENO1
1.012458868,-0.130072912,NPM1
